rank_sum,mean_rank,combination_count,probability,n_universe,class_size
243,81.0,547,0.0026793236544603144,108,3
244,81.33333333333333,533,0.00261074864319442,108,3
245,81.66666666666667,520,0.0025470718470189464,108,3
246,82.0,507,0.0024833950508434724,108,3
247,82.33333333333333,494,0.002419718254667999,108,3
248,82.66666666666667,481,0.0023560414584925253,108,3
249,83.0,469,0.0022972628774074726,108,3
250,83.33333333333333,456,0.002233586081231999,108,3
251,83.66666666666667,444,0.0021748075001469464,108,3
252,84.0,432,0.0021160289190618937,108,3
253,84.33333333333333,420,0.0020572503379768414,108,3
254,84.66666666666667,408,0.0019984717568917888,108,3
255,85.0,397,0.0019445913908971572,108,3
256,85.33333333333333,385,0.0018858128098121045,108,3
257,85.66666666666667,374,0.0018319324438174729,108,3
258,86.0,363,0.0017780520778228413,108,3
259,86.33333333333333,352,0.0017241717118282097,108,3
260,86.66666666666667,341,0.0016702913458335783,108,3
261,87.0,331,0.0016213091949293678,108,3
262,87.33333333333333,320,0.0015674288289347362,108,3
263,87.66666666666667,310,0.0015184466780305257,108,3
264,88.0,300,0.0014694645271263152,108,3
265,88.33333333333333,290,0.0014204823762221047,108,3
266,88.66666666666667,280,0.0013715002253178942,108,3
267,89.0,271,0.0013274162895041046,108,3
268,89.33333333333333,261,0.001278434138599894,108,3
269,89.66666666666667,252,0.0012343502027861047,108,3
270,90.0,243,0.0011902662669723153,108,3
271,90.33333333333333,234,0.0011461823311585259,108,3
272,90.66666666666667,225,0.0011020983953447365,108,3
273,91.0,217,0.001062912674621368,108,3
274,91.33333333333333,208,0.0010188287388075785,108,3
275,91.66666666666667,200,0.0009796430180842102,108,3
276,92.0,192,0.0009404572973608417,108,3
277,92.33333333333333,184,0.0009012715766374733,108,3
278,92.66666666666667,176,0.0008620858559141048,108,3
279,93.0,169,0.0008277983502811575,108,3
280,93.33333333333333,161,0.0007886126295577891,108,3
281,93.66666666666667,154,0.0007543251239248418,108,3
282,94.0,147,0.0007200376182918944,108,3
283,94.33333333333333,140,0.0006857501126589471,108,3
284,94.66666666666667,133,0.0006514626070259997,108,3
285,95.0,127,0.0006220733164834734,108,3
286,95.33333333333333,120,0.0005877858108505261,108,3
287,95.66666666666667,114,0.0005583965203079998,108,3
288,96.0,108,0.0005290072297654734,108,3
289,96.33333333333333,102,0.0004996179392229472,108,3
290,96.66666666666667,96,0.00047022864868042085,108,3
291,97.0,91,0.0004457375732283156,108,3
292,97.33333333333333,85,0.0004163482826857893,108,3
293,97.66666666666667,80,0.00039185720723368406,108,3
294,98.0,75,0.0003673661317815788,108,3
295,98.33333333333333,70,0.00034287505632947356,108,3
296,98.66666666666667,65,0.0003183839808773683,108,3
297,99.0,61,0.0002987911205156841,108,3
298,99.33333333333333,56,0.00027430004506357884,108,3
299,99.66666666666667,52,0.00025470718470189463,108,3
300,100.0,48,0.00023511432434021042,108,3
301,100.33333333333333,44,0.0002155214639785262,108,3
302,100.66666666666667,40,0.00019592860361684203,108,3
303,101.0,37,0.00018123395834557888,108,3
304,101.33333333333333,33,0.00016164109798389467,108,3
305,101.66666666666667,30,0.00014694645271263153,108,3
306,102.0,27,0.00013225180744136836,108,3
307,102.33333333333333,24,0.00011755716217010521,108,3
308,102.66666666666667,21,0.00010286251689884207,108,3
309,103.0,19,9.306608671799996e-05,108,3
310,103.33333333333333,16,7.83714414467368e-05,108,3
311,103.66666666666667,14,6.857501126589471e-05,108,3
312,104.0,12,5.8778581085052606e-05,108,3
313,104.33333333333333,10,4.898215090421051e-05,108,3
314,104.66666666666667,8,3.91857207233684e-05,108,3
315,105.0,7,3.4287505632947356e-05,108,3
316,105.33333333333333,5,2.4491075452105253e-05,108,3
317,105.66666666666667,4,1.95928603616842e-05,108,3
318,106.0,3,1.4694645271263151e-05,108,3
319,106.33333333333333,2,9.7964301808421e-06,108,3
320,106.66666666666667,1,4.89821509042105e-06,108,3
321,107.0,1,4.89821509042105e-06,108,3
