setting_id,w_C_ACC,w_residual,w_B_neighbor,w_external,drug,score,rank,median_rank,q1_rank,q3_rank,minimum_rank,maximum_rank,top10_rate,top20_rate
2,0.0,0.1,0.4,0.5,Lomustine,0.6127,15,45.0,22.5,54.0,6,65,0.029556650246305417,0.22660098522167488
2,0.0,0.1,0.4,0.5,Fulvestrant,0.4333,80,59.0,46.0,76.5,33,96,0.0,0.0
2,0.0,0.1,0.4,0.5,Hydroxyurea,0.4167,89,56.0,38.0,73.0,17,89,0.0,0.034482758620689655
2,0.0,0.1,0.4,0.5,Decitabine,0.5102,50,54.0,50.0,56.0,43,64,0.0,0.0
2,0.0,0.1,0.4,0.5,Cabozantinib,0.7316,2,37.0,10.0,59.5,1,85,0.270935960591133,0.3497536945812808
2,0.0,0.1,0.4,0.5,Gemcitabine,0.47140000000000004,67,56.0,32.5,74.0,1,93,0.08374384236453201,0.1724137931034483
2,0.0,0.1,0.4,0.5,Encorafenib,0.5671,31,49.0,30.0,67.0,3,86,0.06896551724137931,0.1724137931034483
2,0.0,0.1,0.4,0.5,Darolutamide,0.5234000000000001,46,60.0,46.0,82.0,33,94,0.0,0.0
2,0.0,0.1,0.4,0.5,Dacomitinib,0.6419,10,53.0,29.0,79.0,6,99,0.03940886699507389,0.18226600985221675
2,0.0,0.1,0.4,0.5,Cyclophosphamide,0.4178,87,65.0,48.0,79.0,28,91,0.0,0.0
2,0.0,0.1,0.4,0.5,Duvelisib,0.5889,23,58.0,40.0,74.0,21,90,0.0,0.0
2,0.0,0.1,0.4,0.5,Topotecan,0.5281,41,62.0,56.5,65.0,41,71,0.0,0.0
2,0.0,0.1,0.4,0.5,Sunitinib,0.497,57,64.0,48.5,75.0,14,103,0.0,0.019704433497536946
2,0.0,0.1,0.4,0.5,Allopurinol,0.35660000000000003,102,72.0,51.5,91.0,26,103,0.0,0.0
2,0.0,0.1,0.4,0.5,Estramustine,0.5013,55,68.0,54.0,84.0,42,94,0.0,0.0
2,0.0,0.1,0.4,0.5,Raloxifene,0.5444,35,57.0,33.0,75.0,4,97,0.06403940886699508,0.15763546798029557
2,0.0,0.1,0.4,0.5,Imatinib,0.5049,53,66.0,61.0,75.0,53,80,0.0,0.0
2,0.0,0.1,0.4,0.5,Sirolimus,0.4194,85,72.0,60.5,85.0,49,96,0.0,0.0
2,0.0,0.1,0.4,0.5,Dabrafenib,0.4937,59,58.0,32.0,81.0,4,98,0.06403940886699508,0.13793103448275862
2,0.0,0.1,0.4,0.5,Asciminib,0.514,49,66.0,60.0,68.0,44,76,0.0,0.0
2,0.0,0.1,0.4,0.5,Dasatinib,0.4719,66,72.0,62.5,79.0,53,89,0.0,0.0
2,0.0,0.1,0.4,0.5,Tioguanine,0.41670000000000007,88,68.0,34.0,90.0,1,103,0.08374384236453201,0.15270935960591134
2,0.0,0.1,0.4,0.5,Pemetrexed,0.4296,82,75.0,52.0,87.0,23,95,0.0,0.0
2,0.0,0.1,0.4,0.5,Azacitidine,0.4178,86,77.0,68.0,86.0,42,93,0.0,0.0
2,0.0,0.1,0.4,0.5,Temsirolimus,0.49420000000000003,58,72.0,59.0,79.0,43,87,0.0,0.0
2,0.0,0.1,0.4,0.5,Lorlatinib,0.47950000000000004,63,74.0,71.0,76.0,54,81,0.0,0.0
2,0.0,0.1,0.4,0.5,Carboplatin,0.5259,44,72.0,63.0,83.0,33,95,0.0,0.0
2,0.0,0.1,0.4,0.5,Vorinostat,0.5098,51,78.0,60.0,94.0,44,101,0.0,0.0
2,0.0,0.1,0.4,0.5,Dexrazoxane,0.6022000000000001,19,70.0,47.5,90.0,16,102,0.0,0.034482758620689655
