Rank,Sample ID,Sample Name,Average_ZAUC,CUACC1_ZAUC,CUACC2_ZAUC,H295R_ZAUC,CUACC1_AUC,CUACC2_AUC,H295R_AUC,CUACC1_IC50,CUACC2_IC50,H295R_IC50,IC50_n,Primary MOA,Gene Symbol
110,NCGC00242506-13,Bortezomib,-1.85108988155656,-2.0542175709636266,-1.908182953960452,-1.5908691197456015,290.042,326.536,344.748,,,,0,Proteasome Inhibitor,PSMD1
111,NCGC00092357-04,Sibutramine hydrochloride,-1.835972344172958,-2.0387917714311645,-1.9246954922045796,-1.5444297688831303,291.281,324.879,348.768,,0.476722,0.500515,2,5-HT Reuptake Inhibitor,HTR1A
112,NCGC00387475-01,GSK-2194069,-1.83188903901186,-1.766344014232726,-2.1647003027486793,-1.564622800054175,313.164,300.795,347.02,0.091486,1.411235,0.121993,3,Fatty Acid Synthase (FAS) Inhibitor,FAS
113,NCGC00165722-19,Plerixafor hydrochloride,-1.822638400009491,-1.4851188650485037,-1.807403654465664,-2.1753926805143053,335.752,336.649,294.149,,,,0,Chemokine CXCR4 (SDF-1 Receptor) Antagonist,CXCR4
114,NCGC00025297-06,Gabexate mesilate,-1.8182577226186065,-1.2699918350877204,-2.247950601174415,-1.9368307315936841,353.031,292.441,314.8,0.533144,1.583602,0.019817,3,NF-kappaB Activation Inhibitor,NFKB1
115,NCGC00263223-02,CAY-10626,-1.8086827511404104,-1.8370611581749245,-2.1034036082769654,-1.4855834869693414,307.484,306.946,353.862,,,,0,PI3Kalpha Inhibitor,PIK3CA
116,NCGC00390582-04,RGB-286638,-1.807888573407435,-1.9159456342343906,-2.2258574827150115,-1.281862603272903,301.148,294.658,371.497,,,,0,CDK/Cyclin Complex Inhibitor,CDK1
117,NCGC00510464-01,P21d hydrochloride,-1.7976917690077654,-1.112372285385567,-1.7429678836228575,-2.5377351380148716,365.691,343.115,262.783,,,0.010193,1,BRK/PTK6 Inhibitor,PTK6
118,NCGC00481572-02,GNE-317,-1.795614344865494,-2.0974446702184353,-1.4345411735107547,-1.854857190867292,286.57,374.065,321.896,,,,0,mTOR Inhibitor,MTOR
119,NCGC00181350-14,Vatalanib,-1.792405268642648,-1.518834010435031,-1.696320212216242,-2.1620615832766705,333.044,347.796,295.303,0.007107,3.121439,,2,VEGFR-2 Inhibitor,FLT1
120,NCGC00025228-15,Rottlerin,-1.7778468694904803,-1.6497229777350895,-0.7755842686266577,-2.9082333621096934,322.531,440.19,230.711,,0.001215,0.104181,2,,
121,NCGC00188866-01,NCGC00188866,-1.772807301178326,-1.996784791913387,-1.49151291831563,-1.830124193305961,294.655,368.348,324.037,,0.002464,,1,Rac1 Inhibitor,RAC1
