drugA,drugB,published_Bindex,recovered_BACC_lambda0,abs_diff
Valrubicin,Cyclophosphamide,0.306818181818181,0.306818,1.8181818101092873e-07
Irinotecan,Nitrogen mustard,0.306818181818181,0.306818,1.8181818101092873e-07
Tucatinib,Afatinib,0.305555555555555,0.305556,4.444444449691609e-07
Avapritinib,Idelalisib,0.305555555555555,0.305556,4.444444449691609e-07
Cytarabine,Clofarabine,0.305555555555555,0.305556,4.444444449691609e-07
Cytarabine,Pemetrexed,0.305555555555555,0.305556,4.444444449691609e-07
Cytarabine,Pralatrexate,0.305555555555555,0.305556,4.444444449691609e-07
Cytarabine,Topotecan,0.305555555555555,0.305556,4.444444449691609e-07
Dacomitinib,Osimertinib,0.305555555555555,0.305556,4.444444449691609e-07
Sirolimus,Idelalisib,0.305555555555555,0.305556,4.444444449691609e-07
Melphalan,Methotrexate,0.305555555555555,0.305556,4.444444449691609e-07
Selpercatinib,Brigatinib,0.304054054054054,0.304054,5.405405401059937e-08
Cytarabine,Irinotecan,0.303030303030303,0.30303,3.030303029616377e-07
Nitrogen mustard,Palbociclib,0.302884615384615,0.302885,3.846153850406431e-07
Abiraterone,Zoledronate,0.302564102564102,0.302564,1.0256410198916655e-07
Ifosfamide,Etoposide,0.302521008403361,0.302521,8.40336100704775e-09
Erdafitinib,Sirolimus,0.3,0.3,0.0
Paclitaxel,Pemetrexed,0.3,0.3,0.0
Paclitaxel,Pralatrexate,0.3,0.3,0.0
Pemigatinib,Sirolimus,0.3,0.3,0.0
Carfilzomib,Lomustine,0.296296296296296,0.296296,2.962962959984772e-07
Cytarabine,Methotrexate,0.296296296296296,0.296296,2.962962959984772e-07
Vinblastine,Lomustine,0.296296296296296,0.296296,2.962962959984772e-07
Avapritinib,Ixabepilone,0.295454545454545,0.295455,4.5454545499756804e-07
Celecoxib,Valrubicin,0.295454545454545,0.295455,4.5454545499756804e-07
Osimertinib,Erlotinib,0.295454545454545,0.295455,4.5454545499756804e-07
Everolimus,Sirolimus,0.295454545454545,0.295455,4.5454545499756804e-07
Pemetrexed,Idarubicin,0.295454545454545,0.295455,4.5454545499756804e-07
Topotecan,Idarubicin,0.295454545454545,0.295455,4.5454545499756804e-07
Irinotecan,Pralatrexate,0.295454545454545,0.295455,4.5454545499756804e-07
Irinotecan,Topotecan,0.295454545454545,0.295455,4.5454545499756804e-07
Zanubrutinib,Osimertinib,0.295454545454545,0.295455,4.5454545499756804e-07
Talazoparib,Valrubicin,0.295454545454545,0.295455,4.5454545499756804e-07
Topotecan,Valrubicin,0.295454545454545,0.295455,4.5454545499756804e-07
Zanubrutinib,Tucatinib,0.295454545454545,0.295455,4.5454545499756804e-07
Avapritinib,Fluorouracil,0.291666666666666,0.291667,3.3333333399054865e-07
Fedratinib,Ceritinib,0.291666666666666,0.291667,3.3333333399054865e-07
Pralatrexate,Daunorubicin,0.291666666666666,0.291667,3.3333333399054865e-07
Topotecan,Daunorubicin,0.291666666666666,0.291667,3.3333333399054865e-07
Docetaxel,Pemetrexed,0.291666666666666,0.291667,3.3333333399054865e-07
