drugA,drugB,B_ACC
Dexrazoxane,Oxaliplatin,0.255323
Carmustine,Paclitaxel,0.254895
Belinostat,Oxaliplatin,0.254753
Dasatinib,Fruquintinib,0.254223
Ifosfamide,Raloxifene,0.254048
Arsenic trioxide,Darolutamide,0.253455
Paclitaxel,Raloxifene,0.253281
Encorafenib,tepotinib,0.253196
Idarubicin,Mitoxantrone,0.252377
Chlorambucil,Idarubicin,0.251638
Carfilzomib,Ifosfamide,0.251230
Crizotinib,Vinblastine,0.250963
Carmustine,Ribociclib,0.250920
Cyclophosphamide,Pipobroman,0.250683
Ixabepilone,Raloxifene,0.250614
Carmustine,Dacarbazine,0.250420
Chlorambucil,Irinotecan,0.250342
Irinotecan,Mitoxantrone,0.250292
Avapritinib,Zoledronate,0.250170
Cladribine,Trifluridine,0.250011
Irinotecan,Tioguanine,0.249189
Cisplatin,Thiotepa,0.248679
Idarubicin,Pemetrexed,0.248537
Pipobroman,Tioguanine,0.248442
Erlotinib,Neratinib,0.248185
Cisplatin,Selinexor,0.248161
Arsenic trioxide,Avapritinib,0.247208
Fluorouracil,Oxaliplatin,0.246593
Imatinib,Selumetinib,0.246132
Irinotecan,Mitomycin,0.245874
Docetaxel,Oxaliplatin,0.245863
Mitoxantrone,Thiotepa,0.244650
Imatinib,Methotrexate,0.244555
Belinostat,Vorinostat,0.244521
Melphalan,Triethylenemelamine,0.244422
Chlorambucil,Triethylenemelamine,0.244363
Carmustine,Ixabepilone,0.244292
Pipobroman,Uracil mustard,0.243746
Cytarabine,Nitrogen mustard,0.243661
Mitomycin,Pemetrexed,0.243548
Methotrexate,Nitrogen mustard,0.243415
Cobimetinib,Imatinib,0.243328
Idarubicin,Methotrexate,0.242887
Dasatinib,Ibrutinib,0.242884
Hydroxyurea,Thiotepa,0.242285
Ixabepilone,Oxaliplatin,0.242283
Trametinib,Venetoclax,0.242280
Bleomycin,Erdafitinib,0.241959
Hydroxyurea,Triethylenemelamine,0.241796
Chlorambucil,Mitomycin,0.241621
Dasatinib,Lenvatinib,0.240352
Cladribine,Hydroxyurea,0.239954
Methotrexate,Vorinostat,0.239389
Belinostat,Crizotinib,0.239354
Brigatinib,Erlotinib,0.238909
Fluorouracil,Palbociclib,0.238724
Carmustine,Darolutamide,0.238418
Mercaptopurine,Oxaliplatin,0.238370
Ixabepilone,Sunitinib,0.238303
Vemurafenib,Venetoclax,0.238229
Abiraterone,Avapritinib,0.238169
Idarubicin,Trifluridine,0.237967
Actinomycin D,Docetaxel,0.237041
Arsenic trioxide,Imatinib,0.236967
Nitrogen mustard,Pemetrexed,0.236209
Binimetinib,Venetoclax,0.236186
Bleomycin,Fruquintinib,0.235535
Carboplatin,Selinexor,0.235000
Idarubicin,Oxaliplatin,0.234941
Ibrutinib,Neratinib,0.234869
Fluorouracil,Sunitinib,0.234633
Belinostat,Trilaciclib,0.234613
Mercaptopurine,Trifluridine,0.234209
Arsenic trioxide,Vinblastine,0.233834
Mercaptopurine,Pipobroman,0.232646
Arsenic trioxide,Carfilzomib,0.232358
Oxaliplatin,Tioguanine,0.232037
Nitrogen mustard,Valrubicin,0.231918
Carmustine,Docetaxel,0.231557
Lenvatinib,Pemigatinib,0.230956
Oxaliplatin,umbralisib,0.230512
Hydroxyurea,Tioguanine,0.230301
Dacarbazine,tepotinib,0.230127
Pemigatinib,Pralsetinib,0.230060
Imatinib,Mercaptopurine,0.229967
Abiraterone,Everolimus,0.229883
Crizotinib,Vorinostat,0.229745
Paclitaxel,Tamoxifen,0.229681
Cytarabine,Epirubicin,0.229530
Etoposide,Thiotepa,0.228833
Etoposide,Triethylenemelamine,0.228371
Crizotinib,Ifosfamide,0.228213
Bleomycin,Everolimus,0.227984
Methotrexate,Paclitaxel,0.227566
Mitoxantrone,Nitrogen mustard,0.227514
Ifosfamide,Paclitaxel,0.226961
Melphalan,Pipobroman,0.226518
Chlorambucil,Pipobroman,0.226459
Mitoxantrone,Pipobroman,0.226284
Belinostat,Palbociclib,0.225705
Hydroxyurea,Valrubicin,0.225675
Chlorambucil,Nitrogen mustard,0.225222
Bleomycin,Zoledronate,0.224832
Arsenic trioxide,Raloxifene,0.224711
Crizotinib,Oxaliplatin,0.224208
Ifosfamide,Tamoxifen,0.224122
Ifosfamide,Mitoxantrone,0.223834
Teniposide,Thiotepa,0.223749
Palbociclib,Pemetrexed,0.223719
Gemcitabine,Paclitaxel,0.223406
Actinomycin D,Nilotinib,0.223361
Teniposide,Triethylenemelamine,0.223286
Palbociclib,Raloxifene,0.223134
Cladribine,Cytarabine,0.222681
Dasatinib,Zoledronate,0.222328
Ifosfamide,Oxaliplatin,0.221946
Sunitinib,Vorinostat,0.221421
Ixabepilone,Vorinostat,0.221407
Oxaliplatin,Trifluridine,0.221332
Gemcitabine,Irinotecan,0.219658
Etoposide,Irinotecan,0.218574
Carmustine,Vinblastine,0.218409
Ifosfamide,Irinotecan,0.217823
Carfilzomib,Carmustine,0.216983
Abiraterone,Bleomycin,0.216612
Ibrutinib,Selpercatinib,0.216358
Sunitinib,Trilaciclib,0.216198
Epirubicin,Uracil mustard,0.215920
Oxaliplatin,Tamoxifen,0.215755
Allopurinol,Asciminib,0.215189
Erdafitinib,Erlotinib,0.215062
Cytarabine,Daunorubicin,0.214912
Nitrogen mustard,Trifluridine,0.213338
Docetaxel,Gemcitabine,0.213130
Tamoxifen,tepotinib,0.212986
Epirubicin,Mitomycin,0.212798
Bleomycin,Dasatinib,0.212320
