drugA,drugB,B_ACC
Nitrogen mustard,Trifluridine,0.229167
Pipobroman,Teniposide,0.229167
Ribociclib,Sunitinib,0.229167
Teniposide,Thiotepa,0.229167
Teniposide,Triethylenemelamine,0.229167
Tioguanine,Trifluridine,0.229167
Crizotinib,Vorinostat,0.228758
Ifosfamide,Tamoxifen,0.228758
Crizotinib,Oxaliplatin,0.227704
Ifosfamide,Oxaliplatin,0.227704
Daunorubicin,Hydroxyurea,0.226190
Etoposide,Mitomycin,0.226190
Fluorouracil,Hydroxyurea,0.226190
Ifosfamide,Mitoxantrone,0.225490
Bleomycin,Zoledronate,0.225000
Epirubicin,Uracil mustard,0.225000
Dasatinib,Zoledronate,0.225000
Ifosfamide,Irinotecan,0.224599
Cladribine,Cytarabine,0.222222
Tamoxifen,tepotinib,0.222222
Abiraterone,Bleomycin,0.220353
Palbociclib,Raloxifene,0.219780
Dexrazoxane,Irinotecan,0.219697
Ixabepilone,Vorinostat,0.219697
Oxaliplatin,Tamoxifen,0.219534
Mitomycin,Nitrogen mustard,0.218750
Carfilzomib,Carmustine,0.218391
Carmustine,Vinblastine,0.218391
Lomustine,Nilotinib,0.216931
Mercaptopurine,Nilotinib,0.216931
Paclitaxel,Pipobroman,0.216667
Brigatinib,Erlotinib,0.215909
Brigatinib,Everolimus,0.215909
Irinotecan,Teniposide,0.215909
Carboplatin,Nilotinib,0.214286
Docetaxel,Ifosfamide,0.213235
Oxaliplatin,Palbociclib,0.212159
Asciminib,Ixabepilone,0.212121
Idarubicin,Pipobroman,0.212121
Irinotecan,Thiotepa,0.212121
Irinotecan,Triethylenemelamine,0.212121
Ixabepilone,Sunitinib,0.212121
Pipobroman,Valrubicin,0.212121
Thiotepa,Valrubicin,0.212121
Vemurafenib,tepotinib,0.212121
Carmustine,Nilotinib,0.211823
Arsenic trioxide,Crizotinib,0.208556
Fluorouracil,Vorinostat,0.208333
Actinomycin D,Asciminib,0.208333
Actinomycin D,Selinexor,0.208333
Asciminib,Ceritinib,0.208333
Chlorambucil,Epirubicin,0.208333
Chlorambucil,Gemcitabine,0.208333
Cisplatin,Gemcitabine,0.208333
Daunorubicin,Thiotepa,0.208333
Daunorubicin,Triethylenemelamine,0.208333
Docetaxel,Pipobroman,0.208333
Fluorouracil,Pipobroman,0.208333
Fluorouracil,Sunitinib,0.208333
Gemcitabine,Melphalan,0.208333
Mitomycin,Teniposide,0.208333
Mitomycin,Triethylenemelamine,0.208333
Ibrutinib,Selpercatinib,0.207900
Lomustine,Oxaliplatin,0.207885
Mercaptopurine,Oxaliplatin,0.207885
Oxaliplatin,Raloxifene,0.207373
Methotrexate,Paclitaxel,0.205556
Hydroxyurea,Nitrogen mustard,0.205357
Hydroxyurea,Tioguanine,0.205357
Allopurinol,Asciminib,0.205128
Bleomycin,Dasatinib,0.205000
Melphalan,Mercaptopurine,0.203704
Mercaptopurine,Trifluridine,0.203704
Selumetinib,tepotinib,0.203704
Asciminib,Nilotinib,0.202381
Asciminib,Raloxifene,0.202381
Nilotinib,Selinexor,0.202381
Raloxifene,Selinexor,0.202381
Afatinib,Erlotinib,0.202020
Cytarabine,Idarubicin,0.202020
Cytarabine,Valrubicin,0.202020
Dacomitinib,Erlotinib,0.202020
Dabrafenib,Vorinostat,0.201389
Carmustine,Mitoxantrone,0.201149
Carmustine,tepotinib,0.201149
Cobimetinib,tepotinib,0.201149
Carmustine,Oxaliplatin,0.200222
Erdafitinib,Pemigatinib,0.200000
Imatinib,umbralisib,0.200000
Ixazomib,Venetoclax,0.200000
Encorafenib,Sunitinib,0.200000
Mercaptopurine,Nitrogen mustard,0.199074
Fruquintinib,Vandetanib,0.198925
Melphalan,Oxaliplatin,0.198925
Oxaliplatin,Trifluridine,0.198925
Ibrutinib,Lenvatinib,0.198718
Fruquintinib,Pemigatinib,0.198387
Cyclophosphamide,Pipobroman,0.197917
Nitrogen mustard,Pipobroman,0.197917
Nitrogen mustard,Thiotepa,0.197917
Pipobroman,Tioguanine,0.197917
Abiraterone,Dasatinib,0.196923
Carboplatin,Epirubicin,0.196429
Darolutamide,Raloxifene,0.196429
Epirubicin,Etoposide,0.196429
Asciminib,Crizotinib,0.196078
Crizotinib,Selinexor,0.196078
Ifosfamide,Pipobroman,0.196078
Ifosfamide,Selinexor,0.196078
Ifosfamide,Thiotepa,0.196078
Ifosfamide,Triethylenemelamine,0.196078
Asciminib,Tamoxifen,0.194444
Asciminib,Vorinostat,0.194444
Cytarabine,Daunorubicin,0.194444
Dexrazoxane,Pipobroman,0.194444
Dexrazoxane,Thiotepa,0.194444
Dexrazoxane,Triethylenemelamine,0.194444
Sunitinib,Vorinostat,0.194444
Carmustine,Tioguanine,0.193966
Actinomycin D,Arsenic trioxide,0.193182
Arsenic trioxide,Docetaxel,0.193182
Dabrafenib,Nilotinib,0.192857
Irinotecan,Lomustine,0.191919
Irinotecan,Mercaptopurine,0.191919
Ixabepilone,Lomustine,0.191919
Ixabepilone,Mercaptopurine,0.191919
Ixabepilone,Methotrexate,0.191919
Crizotinib,Selumetinib,0.191721
Dabrafenib,tepotinib,0.191667
Erdafitinib,Erlotinib,0.190909
Erdafitinib,Everolimus,0.190909
Erdafitinib,Zanubrutinib,0.190909
Everolimus,Pemigatinib,0.190909
Raloxifene,Vorinostat,0.190476
Sunitinib,Trilaciclib,0.190476
Oxaliplatin,Tioguanine,0.189516
Arsenic trioxide,Selinexor,0.189394
Sunitinib,Trametinib,0.189394
Binimetinib,Sunitinib,0.188406
Crizotinib,Dacarbazine,0.188235
Carmustine,Irinotecan,0.188088
Bleomycin,Brigatinib,0.187500
Brigatinib,Sotorasib,0.187500
Epirubicin,Teniposide,0.187500
