rank_comp,drug,n_assoc,C_ACC,C_ACC_pct,MIPE_potency_pct,NCI60_potency_pct,residual,residual_pct,ADRS_comp
99,Sonidegib,4,0.0277705910386,0.299065420561,0.0373831775701,0.327102803738,-0.389968934607,0.0841121495327,0.191588785047
100,Idelalisib,9,0.0177065114392,0.0654205607477,0.233644859813,0.261682242991,-0.166218862377,0.289719626168,0.177570093458
101,Vinblastine,9,0.0194715114392,0.102803738318,0.429906542056,0.990654205607,-0.276256382847,0.196261682243,0.14953271028
102,Abiraterone,39,0.0109419080302,0,0.18691588785,0.177570093458,-0.177605618642,0.280373831776,0.140186915888
103,Cisplatin,6,0.0213114596967,0.158878504673,0.177570093458,0.570093457944,-0.351881752957,0.102803738318,0.130841121495
104,Neratinib,6,0.0237845708078,0.233644859813,0.0841121495327,0.728971962617,-0.512097215422,0.00934579439252,0.121495327103
105,Teniposide,8,0.0227981033882,0.177570093458,0.14953271028,0.710280373832,-0.438822828964,0.0373831775701,0.107476635514
106,Zoledronate,20,0.015039136403,0.0373831775701,0,0.0467289719626,-0.309544726518,0.158878504673,0.0981308411215
107,Bleomycin,16,0.0195430072247,0.11214953271,0.130841121495,0.598130841121,-0.410391463485,0.0747663551402,0.0934579439252
108,Lenvatinib,18,0.0147138160605,0.0280373831776,0.0467289719626,0.224299065421,-0.337427098806,0.121495327103,0.0747663551402
