variant,drug,z_A1,z_A2,z_B1,z_B2,z_B2_lo,z_B2_hi,delta_z_acc_A1_minus_A2,delta_z_breast_B2_minus_B1,delta_z_breast_B2_lo_minus_B1,delta_z_breast_B2_hi_minus_B1
column_minmax,Sirolimus,-2.43549686784,-2.24957286935,0.700383523739,0.624492017169,0.626080938958,0.622756482173,-0.18592399849,-0.07589150657,-0.074302584781,-0.077627041566
column_minmax,Sonidegib,0.170325472274,0.236812802967,0.122397899493,0.173616602251,0.131014959588,0.175478299248,-0.066487330693,0.051218702758,0.008617060095,0.053080399755
column_minmax,Sunitinib,-7.19412188985,-7.1054053705,-1.10553220596,-1.19584453066,-1.19191845353,-1.20583244199,-0.08871651935,-0.0903123247,-0.08638624757,-0.10030023603
column_minmax,Tamoxifen,0.46115880829,0.632176136354,1.95025589729,2.00269950777,1.99990392207,2.00628986503,-0.171017328064,0.05244361048,0.04964802478,0.05603396774
column_minmax,Temsirolimus,-1.1688203928,-1.00160224393,0.782824816866,0.723925284196,0.726434577003,0.720072288828,-0.16721814887,-0.05889953267,-0.056390239863,-0.062752528038
column_minmax,Teniposide,-1.41667553848,-1.34586757009,2.07511025976,1.95622027325,2.04108974507,1.96147693021,-0.07080796839,-0.11888998651,-0.03402051469,-0.11363332955
column_minmax,Thiotepa,-1.80557611496,-1.64463228855,-0.0612268836594,-0.130001508445,-0.127363341729,-0.133185092021,-0.16094382641,-0.0687746247856,-0.0661364580696,-0.0719582083616
column_minmax,Tioguanine,1.93733254699,1.9300157572,-0.967807035154,-0.945380874561,-0.945933483748,-0.945343164373,0.00731678979,0.022426160593,0.021873551406,0.022463870781
column_minmax,Tivozanib,0.253879528216,0.334242033952,1.2910546103,1.23887745615,1.23983506211,1.23563389788,-0.080362505736,-0.05217715415,-0.05121954819,-0.05542071242
column_minmax,Topotecan,-0.507298667134,-0.429107441768,0.520328823619,0.47905988465,0.479157004226,0.478260478419,-0.078191225366,-0.041268938969,-0.041171819393,-0.0420683452
column_minmax,Trametinib,-0.54209944119,-0.528652975273,3.09830350537,3.1072439102,3.11085651859,3.11255443434,-0.013446465917,0.00894040483,0.01255301322,0.01425092897
column_minmax,Trifluridine,1.4473609499,1.48403647536,-0.771883768752,-0.813005026761,-0.809148073539,-0.818513187071,-0.03667552546,-0.041121258009,-0.037264304787,-0.046629418319
column_minmax,Tucatinib,-0.180629904327,-0.0581442999427,0.883480958553,0.820087275576,0.819674066674,0.819515772779,-0.122485604384,-0.063393682977,-0.063806891879,-0.063965185774
column_minmax,Valrubicin,-0.90432732791,-0.911780735084,-0.361726515973,-0.355905950271,-0.397837536579,-0.35399451365,0.007453407174,0.005820565702,-0.036111020606,0.007732002323
column_minmax,Vandetanib,0.467279556389,0.57796895258,-0.2219580395,-0.2174052941,-0.220239424453,-0.214871559252,-0.110689396191,0.0045527454,0.001718615047,0.007086480248
column_minmax,Vemurafenib,0.263535717753,0.400991631905,-0.812888083071,-0.805590924263,-0.809038697399,-0.802871523632,-0.137455914152,0.007297158808,0.003849385672,0.010016559439
column_minmax,Venetoclax,-4.21238237604,-4.15699444166,0.833563188554,0.832471722499,0.832520712953,0.831405624635,-0.05538793438,-0.001091466055,-0.001042475601,-0.002157563919
