disease,variant,drug,delta_z,exposed
ACC,uniform_ratio_gene_rank,erlotinib,-0.18478499014799998,False
ACC,uniform_ratio_gene_rank,estramustine,-0.228560495042,False
ACC,uniform_ratio_gene_rank,etoposide,-0.137641738979,False
ACC,uniform_ratio_gene_rank,everolimus,-0.263476893094,False
ACC,uniform_ratio_gene_rank,fludarabine,0.11833798821999997,False
ACC,uniform_ratio_gene_rank,fluorouracil,0.07795387240000018,False
ACC,uniform_ratio_gene_rank,fruquintinib,-0.16148837468299992,False
ACC,uniform_ratio_gene_rank,fulvestrant,0.02553042471000011,False
ACC,uniform_ratio_gene_rank,gemcitabine,0.06806141160000001,False
ACC,uniform_ratio_gene_rank,gilteritinib,0.005576357499999851,False
ACC,uniform_ratio_gene_rank,homoharringtonine,0.0024733400489999058,False
ACC,uniform_ratio_gene_rank,hydroxyurea,-0.181311292096,False
ACC,uniform_ratio_gene_rank,ibrutinib,-0.12385132482999994,False
ACC,uniform_ratio_gene_rank,idarubicin,0.330302456535,False
ACC,uniform_ratio_gene_rank,idelalisib,0.041311977185000015,False
ACC,uniform_ratio_gene_rank,imatinib,-0.07575316443000002,False
ACC,uniform_ratio_gene_rank,irinotecan,0.08131481974799998,False
ACC,uniform_ratio_gene_rank,ixabepilone,-0.06940779146699999,False
ACC,uniform_ratio_gene_rank,ixazomib,-0.006862043439999965,False
ACC,uniform_ratio_gene_rank,lapatinib,-0.0007683837269999994,False
ACC,uniform_ratio_gene_rank,lenvatinib,-0.14765482728299995,False
ACC,uniform_ratio_gene_rank,lomustine,-0.06139347953999996,False
ACC,uniform_ratio_gene_rank,lorlatinib,0.03301006000000006,False
ACC,uniform_ratio_gene_rank,melphalan,0.24967390431000025,False
ACC,uniform_ratio_gene_rank,mercaptopurine,0.031941550610000036,False
ACC,uniform_ratio_gene_rank,methotrexate,0.08261706108399997,False
ACC,uniform_ratio_gene_rank,mitomycin,-0.003294500169000014,False
ACC,uniform_ratio_gene_rank,mitotane,-0.056174426160000124,False
ACC,uniform_ratio_gene_rank,mitoxantrone,0.07776593917999985,False
ACC,uniform_ratio_gene_rank,neratinib,0.1353736226278,False
