draw,spearman_vs_locked_ADRS_rank,top20_jaccard_vs_locked,spearman_vs_uniform_ADRS_rank,top20_jaccard_vs_uniform,mean_absolute_rank_change_vs_locked,maximum_absolute_rank_change_vs_locked,Abemaciclib_rank,Palbociclib_rank,Ribociclib_rank
667,0.986891118161,0.818181818182,0.986148027475,0.739130434783,2.51851851852,29,12,55,50
668,0.986910171768,0.818181818182,0.993293130222,0.904761904762,3.03703703704,28,11,40,50
669,0.986348090352,0.904761904762,0.988282031496,0.904761904762,3.01851851852,28,10,31,50
670,0.979288728839,0.818181818182,0.983652004916,0.739130434783,3.27777777778,34,14,60,49
671,0.983890175007,0.904761904762,0.993312183829,0.904761904762,3.07407407407,27,12,52,47
672,0.985528785237,0.904761904762,0.987386511951,0.904761904762,2.48148148148,35,17,61,49
673,0.978250307239,0.739130434783,0.990215972639,0.739130434783,4.07407407407,29,10,32,49
674,0.987024493412,0.904761904762,0.993255023007,0.904761904762,2.81481481481,25,12,51,49
675,0.986338563549,0.904761904762,0.98764373565,0.904761904762,3.2037037037,28,7,25,47
676,0.981718063772,0.818181818182,0.988424933551,0.904761904762,3.53703703704,30,15,53,48
677,0.995093696114,1,0.99131155506,0.904761904762,1.83333333333,17,7,25,50
678,0.985576419256,0.818181818182,0.989044175789,0.818181818182,3.37037037037,23,11,33,50
679,0.973420217783,0.666666666667,0.991054331361,0.739130434783,4.33333333333,31,15,57,49
680,0.987186449074,0.904761904762,0.989530042775,1,2.59259259259,33,16,59,48
681,0.982041975097,0.818181818182,0.992750102413,0.818181818182,3.14814814815,36,16,62,49
682,0.986738689302,0.818181818182,0.990187392228,0.818181818182,2.96296296296,25,13,51,47
683,0.98928234588,0.818181818182,0.989415721131,0.818181818182,2.42592592593,31,19,57,48
684,0.986529099622,0.818181818182,0.990558937571,0.904761904762,3.38888888889,19,7,26,48
685,0.987948593367,0.904761904762,0.989634837616,0.818181818182,2.48148148148,29,12,51,48
686,0.990854268484,1,0.993531300313,0.904761904762,2.07407407407,24,14,50,48
687,0.981136928749,0.739130434783,0.984223613136,0.818181818182,3.59259259259,26,11,35,48
688,0.973763182715,0.666666666667,0.986262349119,0.739130434783,4.85185185185,28,7,36,49
689,0.992026065335,0.904761904762,0.991168653005,0.904761904762,2.31481481481,24,14,50,47
690,0.985128659483,0.818181818182,0.991911743691,0.818181818182,2.81481481481,29,12,50,47
691,0.985166766698,0.818181818182,0.990892375699,0.818181818182,3.2037037037,26,13,52,50
692,0.983861594596,0.904761904762,0.991559251955,1,3.09259259259,27,14,53,49
693,0.982403993636,0.739130434783,0.992893004468,0.818181818182,3.40740740741,33,9,27,50
694,0.989873007707,0.904761904762,0.992264235426,0.818181818182,2.66666666667,26,10,30,48
695,0.975944820753,0.818181818182,0.990663732411,0.904761904762,4.14814814815,31,14,55,49
696,0.978812388655,0.818181818182,0.992978745701,0.904761904762,3.59259259259,35,10,36,49
697,0.986462411996,0.818181818182,0.985566892452,0.904761904762,3.12962962963,25,14,51,48
