draw,weight_G,weight_R,weight_P,weight_L,weight_S,spearman_vs_locked_ADRS_rank,top20_jaccard_vs_locked,CDK46_mean_rank,Abemaciclib_rank,Palbociclib_rank,Ribociclib_rank
30,0.188253003283,0.254731684507,0.0242127140434,0.0684453933738,0.464357204793,0.998990158812,1,28,7,26,51
31,0.400371747899,0.206977995868,0.188296800431,0.132893853792,0.071459602009,0.999904731963,1,27.6666666667,7,26,50
32,0.0532669985389,0.428189912864,0.162370769789,0.17215259602,0.184019722788,0.998885363972,1,28,8,27,49
33,0.207575889718,0.304076151732,0.161442342538,0.143595201005,0.183310415007,0.999285489725,1,28.6666666667,8,27,51
34,0.0403184968632,0.338341861176,0.426148150523,0.125446564943,0.0697449264957,0.998713881506,1,28,8,27,49
35,0.0398970421606,0.221859101292,0.597104190937,0.131725140546,0.00941452506443,0.998409023788,1,28.6666666667,8,29,49
36,0.135381935818,0.0175784485941,0.161956179109,0.531787630253,0.153295806227,0.997465870226,0.904761904762,28.3333333333,8,29,48
37,0.0462860368727,0.600510982814,0.112336173514,0.0771585603081,0.163708246491,0.999123534063,1,28.3333333333,8,27,50
38,0.100227381939,0.0130189309324,0.732553973997,0.112253331551,0.0419463815804,0.998228014519,1,28.3333333333,8,28,49
39,0.0885210328379,0.227079865144,0.272261971906,0.0111882562274,0.400948873885,0.998971105204,1,27.6666666667,8,26,49
40,0.00199451858806,0.311095515084,0.0762073659009,0.115271137972,0.495431462455,0.998580506254,1,27.6666666667,8,26,49
41,0.273935175002,0.247773188845,0.111058616983,0.362352860412,0.00488015875859,0.998856783561,1,28.6666666667,9,28,49
42,0.390434412754,0.00148973646339,0.043227574019,0.197952976019,0.366895300744,0.999314070136,1,28.3333333333,8,26,51
43,0.338718392948,0.264497510011,0.0727540157124,0.0470987177007,0.276931363628,0.999237855707,1,27.6666666667,8,26,49
44,0.194453717642,0.13741707652,0.156334099046,0.239082593923,0.272712512869,0.99903779283,1,28,8,27,49
45,0.385483941777,0.0456008640141,0.00893145148878,0.43201818163,0.12796556109,0.998990158812,1,28.6666666667,8,27,51
46,0.179249593255,0.0516131481177,0.298751123182,0.336348853738,0.134037281707,0.998771042328,1,28.3333333333,8,28,49
47,0.150568251595,0.00627022111863,0.624137860722,0.141480909133,0.0775427574315,0.998428077396,1,28,8,27,49
48,0.0215412839624,0.0550977352509,0.0794704291822,0.050124334341,0.793766217263,0.998475711414,1,27.3333333333,7,26,49
49,0.322655736088,0.128824515353,0.226770189507,0.00461280424683,0.317136754805,0.999523659817,1,28.3333333333,8,26,51
50,0.00353977330977,0.0720452318243,0.528248736891,0.263076116053,0.133090141923,0.997627825888,1,28.6666666667,8,29,49
51,0.433955911486,0.358183985284,0.133683891053,0.0592383873419,0.0149378248349,0.999371230958,0.904761904762,27.6666666667,7,26,50
52,0.209598734896,0.341726918288,0.215481749909,0.0889498403988,0.144242756508,0.999466498995,1,28,8,26,50
53,0.00851801528168,0.131251080778,0.294009639062,0.155547356494,0.410673908385,0.99825659493,1,28,8,27,49
54,0.215296861636,0.151643189812,0.322300012596,0.128651261058,0.182108674897,0.999028266026,1,28,8,27,49
55,0.0329246652212,0.0827681261508,0.1598044605,0.488797817923,0.235704930205,0.997208646527,1,28.3333333333,8,29,48
56,0.191188553425,0.0725134679869,0.162115098727,0.287448912042,0.28673396782,0.998790095935,1,28,8,27,49
57,0.345398516767,0.367631304767,0.0236486495482,0.208583255873,0.0547382730452,0.999190221689,1,28,8,26,50
58,0.0307928572851,0.515767509941,0.222750162286,0.102146245279,0.128543225209,0.99893299799,1,28,8,27,49
59,0.240151086123,0.152577637194,0.124931733574,0.327468426256,0.154871116854,0.998904417579,1,28,8,27,49
60,0.456225205977,0.40104772161,0.109536856601,0.00358594921907,0.0296042665926,0.998618613469,0.904761904762,28,8,25,51
61,0.26207607227,0.252042747211,0.36016778498,0.0989945082393,0.0267188873002,0.999580820639,1,28.3333333333,8,27,50
62,0.00566514791303,0.0895301953663,0.223393504192,0.161607784729,0.5198033678,0.998123219679,1,27.6666666667,8,27,48
63,0.145415080809,0.123066358471,0.0351300465054,0.142585763731,0.553802750484,0.99882820315,1,28,7,26,51
64,0.43303730342,0.0153618051926,0.116970760002,0.2135832521,0.221046879285,0.999571293835,1,28,8,26,50
65,0.304988512519,0.163642086849,0.19418835564,0.00108348422517,0.336097560767,0.999437918584,1,28.3333333333,8,26,51
66,0.185886634932,0.0315109697053,0.586729118104,0.18840138504,0.00747189221859,0.998780569131,1,28.3333333333,8,28,49
67,0.438824782553,0.239043905329,0.186692310727,0.0255683429004,0.109870658491,0.99950460621,1,27.6666666667,7,26,50
68,0.241024979112,0.146156052195,0.283970856766,0.146971175028,0.181876936899,0.99903779283,1,28,8,27,49
69,0.271577976406,0.596034657635,0.0212899384437,0.0827966427038,0.0283007848115,0.998961578401,1,28.6666666667,9,26,51
70,0.27123898928,0.347491088277,0.206320282775,0.0384127427454,0.136536896922,0.999733249497,1,28.3333333333,8,26,51
71,0.294253724231,0.0345776238462,0.0525285395399,0.373326496203,0.24531361618,0.998875837168,1,28.3333333333,8,27,50
72,0.125816440424,0.00368970956871,0.492868419987,0.103949959512,0.273675470508,0.998666247487,1,28,8,27,49
73,0.278570948954,0.106083523154,0.118434048073,0.286066075021,0.210845404798,0.9992188021,1,28.6666666667,8,27,51
74,0.232746488926,0.127920106916,0.372122149503,0.249831408929,0.0173798457258,0.999066373241,1,28.3333333333,8,28,49
75,0.275053977268,0.0541811215606,0.0668311828635,0.143627917957,0.460305800351,0.999133060867,1,28,7,26,51
76,0.193083859557,0.139678717303,0.0251618825196,0.172119553209,0.469955987411,0.999094953652,1,28,7,26,51
77,0.0475083762886,0.0845401087596,0.647651235474,0.17760073164,0.042699547838,0.998161326893,1,28.6666666667,8,29,49
78,0.0614354661241,0.16155379496,0.270943710807,0.0841004422654,0.421966585844,0.998837729953,1,27.6666666667,8,26,49
79,0.197261776624,0.258055653205,0.416754157909,0.0831663184668,0.0447620937955,0.999228328903,1,28,8,27,49
80,0.07671835187,0.0218167573411,0.328739742606,0.527990601674,0.0447345465093,0.996856154792,0.904761904762,29.3333333333,10,30,48
81,0.210596564259,0.224614374186,0.0342162869592,0.24356174511,0.287011029487,0.999209275296,1,28.3333333333,8,26,51
82,0.188244088639,0.495674296545,0.0164072856656,0.151825500168,0.147848828982,0.999104480456,1,28.3333333333,8,26,51
83,0.173214909765,0.0610138001331,0.312401444178,0.353787973487,0.0995818724372,0.998494765021,1,28.6666666667,8,29,49
84,0.331347094826,0.0861221017851,0.00594574204437,0.528568612537,0.0480164488079,0.99854239904,1,29.3333333333,11,28,49
85,0.123281966131,0.0439227816112,0.273249864418,0.00398897268154,0.555556415158,0.999104480456,1,27.3333333333,7,26,49
86,0.349147728251,0.0608950217729,0.269994538914,0.282182386281,0.03778032478,0.99914258767,1,28,8,27,49
87,0.0714346249459,0.256307891238,0.431232368289,0.199561248259,0.0414638672674,0.998666247487,1,28,8,27,49
88,0.0746400140615,0.20336193293,0.0213348642698,0.171625246289,0.52903794245,0.998551925843,1,28,8,26,50
89,0.419631497122,0.404794034035,0.128630453267,0.00532763928009,0.0416163762952,0.999066373241,0.904761904762,27.6666666667,7,26,50
90,0.392039736941,0.0095347720474,0.20128170521,0.340064514435,0.0570792713664,0.999199748492,1,28.3333333333,8,28,49
91,0.343186389859,0.0252979289823,0.00821851031823,0.180062676882,0.443234493958,0.999085426848,1,28,7,26,51
92,0.387126836393,0.177680317997,0.061495471335,0.162031028713,0.211666345562,0.999485552602,1,27.6666666667,7,26,50
93,0.110569392991,0.130696905142,0.202071116485,0.49979143979,0.0568711455921,0.997322968171,0.904761904762,29.6666666667,10,30,49
